PROJECT_TITLE,NIH_SPENDING_CATS
"Do Cell Phone Laws Reduce Calling, Texting, and Crashes among Young Drivers?",Behavioral and Social Science; Injury (total) Accidents/Adverse Effects; Injury - Childhood Injuries; Injury - Unintentional Childhood Injury; Pediatric; 
Sphingolipid Biology of Cancer,Cancer; 
Glial Control of CNS State-related Activity,Genetics; Neurosciences; Sleep Research; 
Development of Osteogenic Oxysterols for Local Bone Formation,Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; 
INTEGRATIVE GENETIC APPROACHES TO GENE-AIR POLLUTION INTERACTIONS IN ASTHMA,Asthma; Climate-Related Exposures and Conditions; Clinical Research; Genetics; Human Genome; Lung; Pediatric; Prevention; 
Research Translation Core: Collaborating with Government & NIEHS SRP: As & Mn ,Foodborne Illness; 
Protection from Noise Induced Hearing Loss - Genetic and Drug Induction of HSPs,Biotechnology; Genetics; Neurodegenerative; Neurosciences; Prevention; 
Physiologically Based Markers of Idiopathic Intracranial Hypertension,Brain Disorders; Clinical Research; Eye Disease and Disorders of Vision; Neurosciences; Rare Diseases; 
Impact of AMP-activated kinase on sex differences in hypertrophic cardiomyopathy,Cardiovascular; Estrogen; Heart Disease; 
Molecular mechanisms linking the CXCL12 pathway to atherosclerosis,Aging; Atherosclerosis; Cardiovascular; Clinical Research; Genetics; Heart Disease; Heart Disease - Coronary Heart Disease; Human Genome; 
Distal Mitochondrial Signaling in a Multicellular Organism,Aging; Genetics; Neurosciences; 
Cardiogenesis: Molecular Mechanisms,Biotechnology; Cardiovascular; Genetics; Heart Disease; Human Genome; 
EMT regulators in Epidermal Morphogenesis,Genetics; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; 
Mechanisms and Function of Paneth Cell Expansion After Doxorubicin-Induced Damage,Cancer; Digestive Diseases; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; 
Project 2:  Exposure Assessment of Macondo  Oil Spill in Affected Communities,Cancer; Foodborne Illness; 
DE NOVO LIPOGENESIS AND METABOLIC DISEASE,Digestive Diseases; Liver Disease; Nutrition; 
Cardiovascular Disease Epidemiology & Prevention,Cardiovascular; Heart Disease; Prevention; 
Frailty Assessment: Matching Simplification Efforts to Clinical Aims,Aging; Clinical Research; 
Linking Neural Population Activity and Visual Perception,Basic Behavioral and Social Science; Behavioral and Social Science; Eye Disease and Disorders of Vision; Neurosciences; 
Project 1: PET Measures of Tau and Amyloid Pathology,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Brain Disorders; Clinical Research; Dementia; Diagnostic Radiology; Neurodegenerative; Neurosciences; 
Dissemination & Implementation (D&l) Methods Core,Cancer; Clinical Research; Nutrition; Obesity; Prevention; 
Th17 Pathway Plasticity in the Pathogenesis of Inflammatory Bowel Disease,Autoimmune Disease; Crohn's Disease; Digestive Diseases; Inflammatory Bowel Disease; 
PROJECT 11. Clinical Research and Data ,Cancer; Clinical Research; Clinical Trials and Supportive Activities; 
A toolkit for imaging and photo-manipulation of signaling in zebrafish,Bioengineering; 
Training Program in Multisensory Processes,Clinical Research; Neurosciences; 
"CHWs, mHealth, and Combination HIV Prevention in a Hotspot: A Randomized Trial",Behavioral and Social Science; Clinical Research; Clinical Trials and Supportive Activities; HIV/AIDS; Health Services; Infectious Diseases; Mental Health; Networking and Information Technology R&D; Pediatric; Pediatric AIDS; Prevention; 
Ubiquitin specific peptidases as redox sensor in oncogene-induced p53 signaling,Cancer; Genetics; 
Activated Macrophages and Ozone Toxicity,Climate-Related Exposures and Conditions; Clinical Research; Lung; 
Gene Expression to Expand Knowledge of Inflammatory Depression,Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Clinical Research; Depression; Genetics; Human Genome; Major Depressive Disorder; Mental Health; Neurosciences; Sleep Research; 
Estimating the impact of genetic variants on the brain in space and time,Biotechnology; Genetics; Human Genome; Mental Health; Neurosciences; 
Studies in Youths & Young Adults with Obesity & T2DM  (07-DK-0115),Behavioral and Social Science; Cardiovascular; Clinical Research; Clinical Trials and Supportive Activities; Diabetes; Heart Disease; Nutrition; Obesity; Pediatric; Prevention; 
PILOT PROJECT PROGRAM,Clinical Research; 
PLANNING AND EVALUATION,Cancer; Clinical Research; 
MSU BEST: Integrated Biomedical Training for Multiple Career Options,Clinical Research; Dental/Oral and Craniofacial Disease; 
"Effects of poverty on affective development: A multi-level, longitudinal study",Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Clinical Research; Depression; Mental Health; Mind and Body; Neurosciences; Pediatric; 
Core B:  Training Core,Muscular Dystrophy; Rare Diseases; Regenerative Medicine; 
System Immunogenetics of Influenza-Induced Innate and Adaptive Immunity in the L,Biodefense; Biotechnology; Emerging Infectious Diseases; Genetics; Infectious Diseases; Influenza; Lung; Pneumonia; Pneumonia & Influenza; 
"Carbamylation, smoking, and asthma",Asthma; Health Effects of Indoor Air Pollution; Lung; Prevention; Smoking and Health; Tobacco; 
DukeMed Activated,Clinical Research; Pediatric; 
Understanding the role of NF-kB in T-regulatory cell function,Autoimmune Disease; Genetics; 
Community Outreach and Engagement Core,Prevention; 
CometChip: Development of a high throughput DNA damage assay in hepatocytes,Bioengineering; Biotechnology; Cancer; Genetics; 
Muscle/Bone Phenotyping Core,Aging; Biotechnology; Diagnostic Radiology; 
San Francisco Health Investigators (SF HI),Behavioral and Social Science; Clinical Research; Health Services; Pediatric; 
Evidence-Based Research in Hand Surgery,Aging; Clinical Research; Clinical Trials and Supportive Activities; Comparative Effectiveness Research; Injury (total) Accidents/Adverse Effects; 
Renally Excreted Multimodal Core-Shell Silica Nanoparticles as Tumor-Selective Ra,Bioengineering; Cancer; Diagnostic Radiology; Nanotechnology; 
Novel whole-genome analysis methods for Alzheimer's risk prediction,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Bioengineering; Biotechnology; Brain Disorders; Dementia; Genetics; Human Genome; Neurodegenerative; Neurosciences; Prevention; 
CANAVAN DISEASE:  SUPPRESSING THE PHENOTYPE BY INHIBITING NAA SYNTHESIS,Brain Disorders; Genetics; Neurodegenerative; Neurosciences; Pediatric; Rare Diseases; 
Personalized RAD52-dependent synthetic lethality to eliminate T-ALL,Biotechnology; Cancer; Genetics; Hematology; 
"Role of PC1, Pc2 and HDAC6 in cyst formation in ADPKD",Clinical Research; Congenital Structural Anomalies; Kidney Disease; Pediatric; Polycystic Kidney Disease; 
Critical Roles for Iron and Copper Detoxification in Borrelia Burgdorferi,Emerging Infectious Diseases; Infectious Diseases; Lyme Disease; Vector-Borne Diseases; 
Burnout Reduction for MH Providers to Improve QOC and Reduce Staff Turnover,Behavioral and Social Science; Clinical Research; Health Services; Mental Health; 
DAPK1 regulation and involvement in LTD,Neurosciences; 
Pancreatic Islets Dynamics Regulating Glucagon Secretion,Autoimmune Disease; Diabetes; 
Development of a Cocaine-Metabolizing Enzyme for Drug Overdose Treatment,Drug Abuse (NIDA only); Substance Abuse; 
ADAR2 and Adipose Dysfunction in Aging,Aging; Biotechnology; Diabetes; Genetics; Obesity; 
Motor impairment related changes in muscles properties in chronic stroke,Bioengineering; Brain Disorders; Clinical Research; Neurosciences; Physical Rehabilitation; Rehabilitation; Stroke; 
Target identification by small-molecule labeling in live cells,Biotechnology; 
Mechanism and biology of widespread distal 3'UTR utilization in the CNS,Biotechnology; Genetics; Human Genome; Neurosciences; 
Association of Trabecular Bone Score (TBS) with Incident Fractures in Older Men,Aging; Clinical Research; Injury (total) Accidents/Adverse Effects; Osteoporosis; Prevention; 
Serum Multimarkers Assay based Rapid Test (SMART) for Systemic lupus erythematosus,Autoimmune Disease; Bioengineering; Biotechnology; Clinical Research; Lupus; Nanotechnology; 
Compensatory Cognitive Training in Clinical High Risk Latino Youth,Behavioral and Social Science; Brain Disorders; Clinical Research; Clinical Trials and Supportive Activities; Mental Health; Neurosciences; Pediatric; Rehabilitation; Schizophrenia; Serious Mental Illness; 
Development of a dual small-molecule BCl-XL/BCL-2 inhibitor for non-small cell lu,Cancer; Lung; Lung Cancer; 
Clinical and Transtional Science Institute,Clinical Research; 
Hypothalamic autophagy and metabolic regulation in aging,Aging; Neurosciences; Nutrition; Obesity; 
ANIMAL MODEL CORE,Basic Behavioral and Social Science; Behavioral and Social Science; Biotechnology; Brain Disorders; Drug Abuse (NIDA only); Genetics; Neurosciences; Substance Abuse; 
Allosteric Regulation of Platelet Integrin Function,Bioengineering; Hematology; Nanotechnology; 
"Mechanistic relationships between IDO, GCN2, and mTOR signals in immunity to apoptotic cells",Autoimmune Disease; Lupus; 
Finding a molecular signature for dendrite regeneration,Genetics; Injury (total) Accidents/Adverse Effects; Injury - Trauma - (Head and Spine); Neurosciences; Regenerative Medicine; 
"Monitoring Particulate, PAH, Allergen and Microbial Exposures in Asthmatic Kids",Asthma; Bioengineering; Climate-Related Exposures and Conditions; Clinical Research; Health Effects of Indoor Air Pollution; Lung; 
Physiologic and immunologic consequences of exposure to ETEC enterotoxins,Biodefense; Digestive Diseases; Emerging Infectious Diseases; Foodborne Illness; Immunization; Infectious Diseases; Rare Diseases; Vaccine Related; 
Noninvasive Neural Stimulation Technology,Aging; Assistive Technology; Bioengineering; Brain Disorders; Clinical Research; Clinical Trials and Supportive Activities; Diagnostic Radiology; Neurodegenerative; Neurosciences; Parkinson's Disease; Rehabilitation; 
Role of Stress Signaling in Translational Control of Fetal Hemoglobin Induction,Clinical Research; Cooley's Anemia; Genetics; Hematology; Rare Diseases; Sickle Cell Disease; 
Host Response in Tuberculosis,Biodefense; Emerging Infectious Diseases; Infectious Diseases; Prevention; Rare Diseases; Tuberculosis; 
Administrative Core,Neurosciences; 
Research Methods Core,Behavioral and Social Science; Bioengineering; Brain Disorders; Cost Effectiveness Research; Depression; Mental Health; Prevention; 
Genital Mucosal Immunity in Adolescent Women,Adolescent Sexual Activity; Clinical Research; HIV/AIDS; Infectious Diseases; Pediatric; Prevention; Sexually Transmitted Diseases/Herpes; Topical Microbicides; 
Studying a novel regulator of GBM tumorigeneis: the role of CK2alpha in maintaini,Brain Cancer; Brain Disorders; Cancer; Clinical Research; Neurosciences; Rare Diseases; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; 
Data Management and Resource Dissemination Core,Biodefense; Emerging Infectious Diseases; Infectious Diseases; 
Regulation of Subcellular Organization in Skeletal Muscle,Duchenne/ Becker Muscular Dystrophy; Genetics; Muscular Dystrophy; Pediatric; Rare Diseases; 
Exosomes in Alveolor Bone Remodeling and Root Resorption,Biotechnology; Dental/Oral and Craniofacial Disease; Osteoporosis; 
GENETICS-InFORMATICS TRIAL (GIFT) OF WARFARIN TO PREVENT DVT,Cardiovascular; Clinical Research; Clinical Trials and Supportive Activities; Genetics; Hematology; Patient Safety; Prevention; 
Senior Leadership,Cancer; Clinical Research; Orphan Drug; Pediatric; Pediatric Cancer; Prevention; Rare Diseases; 
Genome Wide Admixture Scan for Multiple Myeloma in African Americans,Cancer; Clinical Research; Genetics; Hematology; Human Genome; Prevention; Rare Diseases; 
Reagent Resource Support Program for AIDS Vaccine Development,Biotechnology; HIV/AIDS; Immunization; Infectious Diseases; Prevention; Vaccine Related; Vaccine Related (AIDS); 
Genomic Compression: From Information Theory to Parallel Algorithms,Bioengineering; Biotechnology; Genetics; Human Genome; Networking and Information Technology R&D; 
DEVELOPMENTAL FUNDS (CORE 002),Cancer; Clinical Research; 
Dissemination Core,Aging; Behavioral and Social Science; 
Economic Contraction and Alcohol-Related Suicides: A Multilevel Analysis,"Alcoholism, Alcohol Use and Health; Basic Behavioral and Social Science; Behavioral and Social Science; Mental Health; Substance Abuse; Suicide; "
HUMAN BIOSPECIMEN REPOSITORY - EXPOSOME ENVIRONMENTAL ANALYSIS FOR BIRTH WEIGHT/OBESITY,Clinical Research; Obesity; Pediatric; Perinatal Period - Conditions Originating in Perinatal Period; 
A systems approach to metabolic dysregulation in the heart,Biotechnology; Cardiovascular; Clinical Research; Genetics; Heart Disease; 
K12 Career Development,Autoimmune Disease; Clinical Research; Diabetes; Genetics; Pediatric; Prevention; 
Mechanisms of actin regulation in synaptogenesis versus axon guidance,Genetics; Neurosciences; 
Life Course Energy Balance and Breast Cancer Risk in Black/White Women Under 50,Behavioral and Social Science; Breast Cancer; Cancer; Clinical Research; Diabetes; Estrogen; Genetics; Nutrition; Obesity; Pediatric; Prevention; 
Eph signaling through RhoGTPase in cell segregation and craniofacial disease,Congenital Structural Anomalies; Dental/Oral and Craniofacial Disease; Genetics; Pediatric; Rare Diseases; 
A Randomized Controlled Trial of Incentives for Habit Formation,Behavioral and Social Science; Cardiovascular; Clinical Research; Clinical Trials and Supportive Activities; Comparative Effectiveness Research; Cost Effectiveness Research; Heart Disease; Prevention; 
Developmental Therapeutics Core Facility,Biotechnology; Cancer; 
Mapping Central and Peripheral Metabolomic Markers in Huntington's Disease,Acquired Cognitive Impairment; Brain Disorders; Clinical Research; Dementia; Huntington's Disease; Neurodegenerative; Neurosciences; Rare Diseases; 
Cryptococcus neoformans Gene Knockout Resource,Biotechnology; Genetics; Human Genome; Infectious Diseases; 
Role of IKKalpha in lymphoid organ development,Cancer; Lung; Lung Cancer; Rare Diseases; 
Host Colonization and Vascular Dissemination of Candida albicans,Cancer; Genetics; HIV/AIDS; Hematology; Infectious Diseases; Septicemia; 
MESA,Aging; Atherosclerosis; Cardiovascular; Clinical Research; Diagnostic Radiology; Eye Disease and Disorders of Vision; Heart Disease; Heart Disease - Coronary Heart Disease; 
Control of Autoimmunity by Regulatory T Cells,Autoimmune Disease; Transplantation; 
DEVELOPMENT OF NOVEL THERAPEUTIC ANTI-TAU ANTIBODIES,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Biotechnology; Brain Disorders; Dementia; Neurodegenerative; Neurosciences; 
Identification of Old-Age-Associated Alzheimer's Disease Drug Targets,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Biotechnology; Brain Disorders; Dementia; Genetics; Neurodegenerative; Neurosciences; Prevention; 
The roles of Hop2 and Mndl in mouse meiotic homologous recombination,Biotechnology; Genetics; Pediatric; 
IND Enabling Critical Path Project,Clinical Research; Clinical Trials and Supportive Activities; HIV/AIDS; Prevention; Topical Microbicides; 
Control of mammalian meiosis I through protein kinase signaling,Contraception/Reproduction; Genetics; 
IGF::OT::IGF EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES,Cancer; Prevention; Smoking and Health; Tobacco; 
Administrative,Cardiovascular; Hypertension; 
"Administrative, Management, and Fiscal Aspects",Biotechnology; 
"Novel effectors of Kras in oncogenesis, senescence and tumor progression",Cancer; Clinical Research; Genetics; Lung; Lung Cancer; Rare Diseases; 
Control by tra-1 of Sexual Differentiation in C. elegans,Congenital Structural Anomalies; Contraception/Reproduction; Estrogen; Genetics; Human Genome; Infertility; Pediatric; Rare Diseases; Sexual and Gender Minorities (SGM/LGBT*); 
Real-time detection of deviations in clinical care in ICU data streams,Clinical Research; Networking and Information Technology R&D; Patient Safety; 
Mediators of pancreatic cancer induction by alcoholic pancreatitis and smoking,"Alcoholism, Alcohol Use and Health; Cancer; Digestive Diseases; Pancreatic Cancer; Prevention; Rare Diseases; Smoking and Health; Substance Abuse; Tobacco; "
1/2-The West Africa-Michigan CHARTER II for GEOHealth-Ghana,Clinical Research; 
Nr4a1 and GPR88 as novel gene targets for alcoholism: mouse genetic approaches,"Alcoholism, Alcohol Use and Health; Biotechnology; Brain Disorders; Genetics; Neurosciences; Substance Abuse; "
Training in Research for Behavioral Oncology and Cancer Control Program,Behavioral and Social Science; Cancer; Prevention; 
Modifiers of disease Severity and Progression in Cerebral Cavernous Malformation,Brain Disorders; Clinical Research; Congenital Structural Anomalies; Genetics; Neurosciences; Pediatric; Rare Diseases; Stroke; 
Health influences on trajectories of activity engagement in older couples,Aging; Arthritis; Behavioral and Social Science; 
Training Geriatric Mental Health Services Researchers,Aging; Clinical Research; Health Services; Mental Health; 
Role of Connexin47 mutations in primary lymphedema,Genetics; 
Alpha Radioimmunotherapy for Lymphoma Treatment,Biotechnology; Cancer; Hematology; Lymphoma; Orphan Drug; Rare Diseases; Transplantation; 
High-Throughput Molecular Profiling Core,Biodefense; Biotechnology; Emerging Infectious Diseases; Genetics; Human Genome; Infectious Diseases; Lung; Pneumonia; Pneumonia & Influenza; 
Nutrition and Superfund Chemical Toxicity,Clinical Research; Nutrition; Prevention; 
The genetics of SF1 (splicing factor 1) in cancers,Cancer; Colo-Rectal Cancer; Digestive Diseases; Genetics; Human Genome; Rare Diseases; Urologic Diseases; 
Using mouse knockouts to unravel endothelial gene function,Biotechnology; Cancer; Cardiovascular; Genetics; 
Addressing Disclosure Risk of Contextualized Microdata in Survey Design,Clinical Research; 
IRS-1 Regulates Inflammatory Cell Recruitment in Lung Cancer,Cancer; Lung; Lung Cancer; 
"Absorption, Metabolism and Biodistribution of Prions after Oral Ingestion",Brain Disorders; Digestive Diseases; Emerging Infectious Diseases; Infectious Diseases; Neurodegenerative; Neurosciences; Rare Diseases; Transmissible Spongiform Encephalopathy (TSE); 
Core E: Immunology and Inflammation Core,Diabetes; HIV/AIDS; 
DIGITAL IMAGE ANALYSIS CORE,Bioengineering; Kidney Disease; 
Osteoblastic Respiration and IRS Signaling,Osteoporosis; 
The Role and Mechanism of NLRX1-mediated Cell Stress Response in Insulin Resistan,Diabetes; Nutrition; Obesity; 
Neurobehavioral Mechanisms of Decisions to Smoke Marijuana and Cocaine in Humans,Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Cannabinoid Research; Clinical Research; Drug Abuse (NIDA only); Mental Health; Neurosciences; Nutrition; Substance Abuse; 
Discovery and Translational Services,Biodefense; Emerging Infectious Diseases; Infectious Diseases; 
Establishing clinical utility of CSF biomarkers for PD,Aging; Brain Disorders; Clinical Research; Neurodegenerative; Neurosciences; Parkinson's Disease; 
Inferring the effects of genetic variants on gene expression and splicing,Bioengineering; Biotechnology; Genetics; Human Genome; 
Mechanisms of Antigen Induced Tolerance in the Lung,Asthma; Lung; 
MolecularCellular Regulation of Hematopoiesis,Cancer; Genetics; HIV/AIDS; Hematology; Rare Diseases; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Embryonic - Non-Human; Stem Cell Research - Nonembryonic - Human; 
Facility Core:  Analytical and Environmental Chemistry ,Autism; Brain Disorders; Clinical Research; Intellectual and Developmental Disabilities (IDD); Mental Health; Neurosciences; Pediatric; Prevention; 
The role of PARP inhibitor target engagement in breast cancer,Breast Cancer; Cancer; 
Colorado Clinical and Translational Sciences Institute,Clinical Research; Health Services; 
Mechanisms of Mitochondrial Distribution,Neurodegenerative; Neurosciences; 
Role of the Histone demethylase JARID1d in Epigenetic Events of Prostate Cancer,Aging; Biotechnology; Cancer; Genetics; Human Genome; Prostate Cancer; Urologic Diseases; 
NEURAL RESPONSE TO INSULIN RESISTANCE TREATMENTS,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Behavioral and Social Science; Brain Disorders; Clinical Research; Clinical Trials and Supportive Activities; Dementia; Diabetes; Mind and Body; Neurodegenerative; Neurosciences; Nutrition; Obesity; Prevention; 
Measuring toxicant effects on cellular function in a microarray format,Bioengineering; Biotechnology; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Stem Cell Research - Umbilical Cord Blood/ Placenta; Stem Cell Research - Umbilical Cord Blood/ Placenta - Human; 
Campylobacter jejuni colonization and the resident microbiota,Biodefense; Digestive Diseases; Emerging Infectious Diseases; Foodborne Illness; Infectious Diseases; 
G protein regulation by monoubiquitination,Genetics; 
Regulation and function of the transferrin receptor 2,Chronic Liver Disease and Cirrhosis; Digestive Diseases; Genetics; Hematology; Liver Disease; 
14th Symposium of the International Diabetes Epidemiology Group (IDEG),Diabetes; 
Elucidating the dependencies of tumor initiating and drug-resistant niches in human malignancies by genome- wide molecualr profiling of single cells,Breast Cancer; Cancer; Clinical Research; Genetics; Human Genome; 
Multi-Component Behavioral Intervention for Complex Patients with CVD Risk,"Alcoholism, Alcohol Use and Health; Behavioral and Social Science; Cardiovascular; Clinical Research; Health Services; Heart Disease; Prevention; Substance Abuse; "
My Mommy and Me_ A Head Start at Reducing Health Disparities,Cardiovascular; Clinical Research; Nutrition; Obesity; Pediatric; Prevention; Rural Health; 
Basic and Translational Research of iPSC-Based hematologic and Vascular Therapies,Biotechnology; Clinical Research; Genetics; Human Genome; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Embryonic - Human; Stem Cell Research - Induced Pluripotent Stem Cell; Stem Cell Research - Induced Pluripotent Stem Cell - Human; 
Regulation of Cell-Type Specific Transcription in Spermatocytes,Biotechnology; Contraception/Reproduction; Genetics; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; 
Developing Obese Mouse Models of Pseudomonas Aeruginosa Pneumonia,Cystic Fibrosis; Diabetes; Infectious Diseases; Lung; Nutrition; Obesity; Pneumonia; Pneumonia & Influenza; Rare Diseases; 
Cefalu: Project 1; Botanicals and Metabolic Flexibility (Cefalu),Clinical Research; Complementary and Alternative Medicine; Diabetes; Nutrition; Obesity; 
LC3-Associated Phagocytosis,HIV/AIDS; 
Implantable device for high-throughput in vivo drug sensitivity testing,Bioengineering; Breast Cancer; Cancer; 
Oscillatory Measures of Number and Precision in Working Memory,Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Clinical Research; Mental Health; Neurosciences; 
Clinical Trials Network: Mid-Atlantic Integrated Care Research Collaborative,Behavioral and Social Science; Clinical Research; Clinical Trials and Supportive Activities; Comparative Effectiveness Research; Drug Abuse (NIDA only); HIV/AIDS; Screening And Brief Intervention For Substance Abuse; Substance Abuse; 
Core B: Clinical and Genetics Core,ALS; Acquired Cognitive Impairment; Aging; Alzheimer's Disease Related Dementias (ADRD); Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Brain Disorders; Clinical Research; Dementia; Frontotemporal Dementia (FTD); Genetics; Neurodegenerative; Neurosciences; Rare Diseases; 
Basic Neuroscience Training in Age-Related Disorders,Aging; Neurosciences; 
Project 1 - Cardiovascular and Regenerative Medicine,Aging; Bioengineering; Cardiovascular; Heart Disease; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Transplantation; 
Microfluidic Devices for Determining Dynamics of Islets of Langerhans,Autoimmune Disease; Bioengineering; Diabetes; 
Sleep Apnea and ST-Elevation Myocardial Infarction: A Multidisciplinary Translational Study,Aging; Cardiovascular; Clinical Research; Heart Disease; Heart Disease - Coronary Heart Disease; Lung; Sleep Research; 
Hexokinase-II protects the heart against ischemia through regulation of autophagy,Cardiovascular; Heart Disease; Heart Disease - Coronary Heart Disease; 
Genetically engineered mouse models,Bioengineering; Biotechnology; Brain Cancer; Brain Disorders; Cancer; Gene Therapy; Genetics; Human Genome; Neurosciences; Rare Diseases; 
Summer Research Experience in Neurobiology,Neurodegenerative; Neurosciences; Rare Diseases; 
Midwestern Progenitor Cell Consortium,Biotechnology; Cardiovascular; Heart Disease; Hematology; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Embryonic - Human; Stem Cell Research - Nonembryonic - Non-Human; 
Virus-Host Interactions: Induction and Evasion of Host Innate Immunity,Biodefense; Biotechnology; Emerging Infectious Diseases; Genetics; Immunization; Infectious Diseases; Rare Diseases; Vaccine Related; Vector-Borne Diseases; West Nile Virus; 
Cardiac radiofrequency ablation catheter with integrated OCT imaging,Bioengineering; Cardiovascular; Diagnostic Radiology; Heart Disease; 
Core E: Protein,Bioengineering; Biotechnology; 
Engagement Core,American Indians / Alaska Natives; Arctic; Diabetes; Prevention; 
Astrocyte volume-regulated control of neuronal excitability,Brain Disorders; Neurosciences; 
Comprehensive Biology: Exploiting the Yeast Genome,Biotechnology; Genetics; Human Genome; 
Biosynthesis of Microbial Isoprenoids,Biotechnology; Genetics; 
Imaging protease activation in calcific aortic valve disease,Cardiovascular; Diagnostic Radiology; Heart Disease; 
Galectin-3 in Primary biliary Cirrhosis,Autoimmune Disease; Chronic Liver Disease and Cirrhosis; Digestive Diseases; Liver Disease; Rare Diseases; 
Role of the brain Renin-Angiotensin Sys. in Cardiovas and Metabolic Regulation,Cardiovascular; Genetics; Hypertension; Neurosciences; Nutrition; Obesity; 
"Tufts Dental, Oral and Craniofacial Tissue Regeneration Consortium (DOCTRC)",Bioengineering; Clinical Research; Congenital Structural Anomalies; Dental/Oral and Craniofacial Disease; Pediatric; Regenerative Medicine; 
Cancer Health Disparities Training Program,Cancer; 
Na+/Ca2+ Exchanger type-1 in Arterial Contraction and Salt-induced Hypertension,Bioengineering; Cardiovascular; Hypertension; Neurosciences; 
Mechanisms of Mycobacterial DNA Repair and Mutagenesis,Antimicrobial Resistance; Biodefense; Biotechnology; Emerging Infectious Diseases; Genetics; Infectious Diseases; Rare Diseases; Tuberculosis; 
Digital Star: HIV Prevention for Youth in Mental Health Treatment,Adolescent Sexual Activity; Behavioral and Social Science; Clinical Research; Clinical Trials and Supportive Activities; HIV/AIDS; Infectious Diseases; Mental Health; Pediatric; Pediatric AIDS; Prevention; 
Roles of Decorin and Biglycan in Cartilage Nanomechanics and Osteoarthritis,Aging; Arthritis; Bioengineering; Nanotechnology; Osteoarthritis; 
2015 Kern Lipid Conference,Aging; Atherosclerosis; Cardiovascular; Digestive Diseases; Heart Disease; Prevention; 
B-RAF drives regenerative axon growth in the optic nerve in vivo,Biotechnology; Eye Disease and Disorders of Vision; Injury (total) Accidents/Adverse Effects; Injury - Trauma - (Head and Spine); Neurosciences; Regenerative Medicine; Rehabilitation; 
Role of microRNAs in intestinal stem cell regulation and cancer initiation,Biotechnology; Cancer; Digestive Diseases; Genetics; Human Genome; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; 
Natural Wolbachia infections for the control of Anopheles mosquitoes,Infectious Diseases; Malaria; Prevention; Rare Diseases; Vector-Borne Diseases; 
Administrative Core,Aging; Behavioral and Social Science; Cancer; Drug Abuse (NIDA only); HIV/AIDS; Immunization; Infectious Diseases; Prevention; Substance Abuse; Vaccine Related; Vaccine Related (AIDS); 
Shared Resources - Central Microscopy Research Facility,Bioengineering; Biotechnology; Cancer; 
Magnetoencephalographic studies of lexical processing and abstraction in autism,Autism; Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Clinical Research; Intellectual and Developmental Disabilities (IDD); Mental Health; Neurosciences; Pediatric; 
Control of Osteoblast Proliferation and Differentiation,Biotechnology; Genetics; Human Genome; 
Role of Abeta- and C-tactile afferents in modulating nociceptive input to superficial dorsal horn nociceptive neurons in a mouse model of referred visceral pain,Complementary and Alternative Medicine; Neurosciences; Pain Conditions - Chronic; Pain Research; 
Modified Elliptical Centric View Orders for Improved Real-Time MRA,Bioengineering; Clinical Research; Diagnostic Radiology; 
Colon Cancer Family Registry Cohort,Cancer; Clinical Research; Colo-Rectal Cancer; Digestive Diseases; Genetics; Prevention; 
Program 2 - Cell Death and Survival Networks,Cancer; 
Inner Ear Progenitor and Hair Cell-like Cells From Human Pluripotent Stem Cells,Neurosciences; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Embryonic - Human; Transplantation; 
Genetic analysis of the Drosophila Response to Viral Infection,Biodefense; Biotechnology; Emerging Infectious Diseases; Genetics; Infectious Diseases; 
Administrative Core,Basic Behavioral and Social Science; Behavioral and Social Science; Clinical Research; HIV/AIDS; Health Services; Prevention; 
